Idade,Sexo,Peso,Altura,Tipo sanguineo,Gosto Musical,Pratica Esporte,Jogo preferido,Forca,Velocidade,Inteligencia
79,M,72.0,1.85,B+,Pagode,Nada,Rocket League,50.5,47.0,74.5
76,M,71.3,1.83,O-,Demais generos estranhos,Nada,FIFA,55.0,29.0,68.0
71,F,66.0,1.81,A-,Hip-Hop/Rap,Nada,World of Warcraft,17.5,16.0,83.5
48,F,69.1,1.82,O+,Hip-Hop/Rap,Volei,Counter-Strike,56.5,63.0,95.5
62,F,58.1,1.76,O-,Hip-Hop/Rap,Luta,Rocket League,61.0,36.5,69.0
79,M,67.9,1.8,AB+,Demais generos estranhos,Nada,The Witcher,34.5,44.0,61.0
80,M,71.5,1.81,AB-,Funk,Nada,Fortnite,41.0,43.5,62.5
57,M,83.1,1.92,B-,Sertanejo,Volei,The Witcher,55.5,39.0,83.0
72,M,73.7,1.92,AB+,Demais generos estranhos,Nada,Counter-Strike,52.5,57.5,58.0
69,M,82.9,1.86,AB-,Rock,Nada,Valorant,23.5,21.5,54.5
70,F,70.0,1.7,O+,Demais generos estranhos,Nada,Valorant,22.5,20.0,64.0
76,F,55.8,1.85,B+,Rock,Nada,Valorant,55.0,23.0,68.5
57,M,72.9,1.71,O+,Metal,eSports,Minecraft,23.5,20.5,83.5
46,F,66.8,1.82,O+,Rock,Atletismo,Counter-Strike,69.0,86.0,69.5
65,F,70.6,1.73,A+,Sertanejo,Nada,League of Legends,25.5,27.5,60.5
38,F,72.8,1.84,O-,Demais generos estranhos,Basquete,Minecraft,71.0,68.0,88.5
77,M,71.9,1.92,B+,Metal,Nada,The Witcher,47.5,55.5,60.0
66,F,58.2,1.79,O-,Hip-Hop/Rap,Nada,Minecraft,54.0,36.5,88.5
25,M,71.2,1.83,B+,Demais generos estranhos,eSports,The Witcher,66.0,54.5,83.5
17,F,63.3,1.65,A-,Pagode,Luta,FIFA,82.0,63.5,69.5
19,M,82.1,1.71,A-,Hip-Hop/Rap,Nada,Valorant,59.5,62.5,64.0
68,F,65.1,1.8,B+,Demais generos estranhos,Nada,Minecraft,45.0,44.5,71.0
56,F,59.6,1.77,AB+,Metal,eSports,Outro - pouco relevante,29.0,23.0,93.5
69,F,62.8,1.71,O-,Sertanejo,Nada,The Witcher,61.0,36.5,74.0
61,F,64.8,1.76,A+,Hip-Hop/Rap,Atletismo,FIFA,62.0,62.5,70.5
60,M,82.1,1.78,B-,Metal,Luta,Rocket League,66.5,39.5,66.0
52,M,76.8,1.93,AB-,Rock,eSports,Minecraft,28.0,20.0,83.5
45,F,56.8,1.72,AB-,Rock,eSports,World of Warcraft,43.0,47.0,87.0
19,M,66.1,1.75,O-,Funk,Volei,Fortnite,94.0,76.0,79.5
50,F,67.0,1.79,AB-,Pop,Luta,Assassin's Creed,77.0,61.0,76.0
32,M,68.5,1.84,O+,Rock,Atletismo,The Witcher,78.0,80.0,70.5
19,M,83.6,1.75,B-,Eletronica,Luta,Dota,95.0,72.5,69.0
43,F,54.7,1.7,A+,Pop,Luta,World of Warcraft,75.5,52.0,79.0
25,F,60.4,1.71,AB-,Hip-Hop/Rap,Futebol,League of Legends,85.0,85.0,78.0
48,M,73.6,1.72,B+,Funk,Nada,The Witcher,42.5,44.0,67.0
46,M,72.7,1.8,O+,Sertanejo,Nada,Assassin's Creed,47.0,36.5,66.0
77,F,63.8,1.72,B+,Pagode,Nada,Counter-Strike,51.5,33.0,65.0
58,M,65.2,1.94,A+,Hip-Hop/Rap,Luta,Minecraft,62.5,33.5,74.0
74,F,64.6,1.83,AB-,Sertanejo,Nada,Counter-Strike,52.0,42.0,78.0
51,F,72.3,1.71,B-,Sertanejo,Basquete,Outro - pouco relevante,53.5,49.5,85.0
13,M,42.7,1.6,AB+,Metal,Luta,Assassin's Creed,74.5,47.5,55.0
69,M,67.4,1.82,AB-,Funk,Nada,Minecraft,58.5,58.5,66.5
53,M,66.3,1.94,O+,Hip-Hop/Rap,Nada,Outro - pouco relevante,29.5,19.5,53.5
39,M,75.3,1.94,A+,Metal,Basquete,Dota,81.5,67.0,95.0
38,F,61.0,1.81,AB+,Rock,Futebol,The Witcher,60.5,72.5,77.0
65,M,75.4,1.88,O-,Pagode,Futebol,Outro - pouco relevante,53.0,55.5,65.5
39,F,56.7,1.84,B+,Demais generos estranhos,Futebol,Dota,67.0,71.0,80.5
57,M,79.8,1.87,A+,Sertanejo,Volei,FIFA,51.5,40.5,85.5
76,F,66.2,1.73,O+,Pagode,Nada,League of Legends,39.5,41.0,64.0
28,M,70.2,1.74,AB-,Metal,Luta,Valorant,95.0,75.0,68.0
67,M,70.1,1.87,B+,Hip-Hop/Rap,Nada,Rocket League,27.0,21.5,54.5
43,F,69.8,1.8,AB+,Funk,Basquete,Fortnite,73.0,75.0,91.0
70,F,68.1,1.7,A-,Pop,Nada,The Witcher,49.5,44.0,66.5
56,F,71.1,1.8,AB-,Hip-Hop/Rap,Luta,The Witcher,61.0,33.5,72.0
34,F,65.4,1.8,B-,Pop,Atletismo,The Witcher,62.0,85.0,75.5
73,M,71.2,1.76,O+,Metal,Nada,Fortnite,43.0,44.0,67.5
24,M,78.3,1.94,A+,Demais generos estranhos,Futebol,Outro - pouco relevante,78.5,91.0,72.5
32,F,54.3,1.79,O+,Funk,Atletismo,World of Warcraft,63.5,76.5,77.5
54,M,75.1,1.74,O-,Pop,Volei,Counter-Strike,53.5,41.5,86.0
47,F,64.5,1.71,AB+,Eletronica,Volei,League of Legends,67.0,58.0,98.0
14,F,48.0,1.51,O+,Pop,Nada,Assassin's Creed,39.0,36.5,45.0
75,F,57.9,1.83,AB+,Rock,Nada,League of Legends,10.0,14.5,55.0
43,M,67.5,1.71,A-,Pagode,Luta,World of Warcraft,81.5,49.5,77.0
68,M,76.6,1.81,B+,Metal,Nada,Valorant,63.5,50.5,81.0
51,M,72.2,1.78,O-,Demais generos estranhos,Basquete,Dota,58.0,54.0,85.5
30,M,72.8,1.9,AB+,Sertanejo,eSports,Assassin's Creed,61.0,65.0,84.0
36,F,59.8,1.83,O-,Rock,Atletismo,Dota,71.0,87.5,76.0
36,M,65.7,1.72,B+,Rock,Atletismo,League of Legends,77.0,89.0,69.0
31,F,61.1,1.72,O+,Hip-Hop/Rap,Futebol,Fortnite,63.0,67.5,78.0
72,F,56.6,1.85,O+,Sertanejo,Nada,Valorant,47.0,53.5,62.0
68,F,71.7,1.75,B-,Eletronica,Nada,Minecraft,61.0,33.0,77.5
65,F,67.4,1.73,O+,Sertanejo,Basquete,Counter-Strike,54.0,48.5,84.0
71,F,61.6,1.71,B+,Pop,Nada,Assassin's Creed,55.0,43.0,74.5
69,F,63.0,1.82,A-,Metal,Nada,FIFA,23.0,19.5,92.5
38,F,67.9,1.71,AB+,Rock,Luta,League of Legends,82.5,65.5,80.5
53,M,78.3,1.72,B-,Hip-Hop/Rap,Futebol,Rocket League,45.0,50.5,71.5
71,M,77.1,1.89,B+,Hip-Hop/Rap,Nada,The Witcher,43.5,52.5,58.0
80,F,68.3,1.83,AB-,Metal,Nada,Valorant,55.0,29.5,69.5
66,M,79.2,1.72,B-,Rock,Nada,Fortnite,52.5,57.5,64.0
36,M,78.9,1.72,B+,Metal,Basquete,The Witcher,78.5,69.0,90.5
54,M,74.6,1.72,A-,Pagode,Volei,FIFA,49.0,38.5,84.5
72,M,77.3,1.76,O-,Pagode,Nada,Valorant,41.0,34.5,83.0
33,F,55.9,1.8,A+,Funk,Basquete,Assassin's Creed,78.0,64.5,85.5
80,M,66.9,1.81,B-,Pagode,Nada,FIFA,23.0,16.0,76.0
36,M,71.6,1.82,B+,Hip-Hop/Rap,Nada,Rocket League,43.0,36.0,62.5
49,F,67.1,1.72,A-,Hip-Hop/Rap,Basquete,Counter-Strike,74.0,71.0,92.0
30,F,71.9,1.82,AB+,Rock,eSports,Outro - pouco relevante,63.0,52.5,88.0
73,M,78.3,1.86,A+,Rock,Nada,Assassin's Creed,53.5,37.5,76.0
69,M,80.5,1.72,A+,Demais generos estranhos,Nada,Counter-Strike,55.0,39.5,81.5
38,F,64.7,1.76,A-,Sertanejo,Volei,Dota,69.5,63.0,94.0
50,F,62.9,1.77,A-,Hip-Hop/Rap,Nada,Outro - pouco relevante,41.0,48.0,67.0
21,F,57.2,1.8,O-,Hip-Hop/Rap,eSports,Outro - pouco relevante,57.5,53.5,86.5
51,F,60.9,1.83,O+,Funk,Futebol,FIFA,47.5,46.0,69.0
60,M,81.1,1.89,B+,Metal,Luta,Outro - pouco relevante,68.0,37.5,70.0
65,F,67.6,1.84,AB+,Metal,Volei,The Witcher,46.5,40.5,87.5
66,M,75.1,1.76,O+,Rock,Nada,World of Warcraft,61.0,52.0,81.0
70,F,61.0,1.71,B+,Pagode,Nada,Minecraft,46.0,62.5,60.5
75,M,74.8,1.81,AB+,Pagode,Nada,Valorant,26.5,20.0,86.0
48,F,62.9,1.79,B+,Pagode,Atletismo,Outro - pouco relevante,74.5,87.0,74.5
65,M,82.6,1.74,AB+,Pagode,Volei,Minecraft,53.5,41.0,86.0
20,M,69.2,1.78,AB-,Demais generos estranhos,Volei,Assassin's Creed,86.0,82.5,88.0
57,F,62.6,1.75,A-,Demais generos estranhos,Futebol,Dota,49.5,46.0,70.0
34,F,68.8,1.79,AB+,Pop,Futebol,Minecraft,68.5,64.5,73.0
49,F,72.8,1.79,B+,Hip-Hop/Rap,eSports,League of Legends,35.5,39.5,93.5
77,M,68.8,1.82,B-,Pop,Nada,World of Warcraft,52.5,50.0,66.0
68,F,69.1,1.78,AB-,Eletronica,Nada,Outro - pouco relevante,27.0,21.0,87.0
45,F,62.5,1.7,AB-,Demais generos estranhos,Basquete,Assassin's Creed,70.5,69.0,82.5
34,M,80.3,1.86,A-,Eletronica,Luta,Outro - pouco relevante,83.0,55.0,79.0
36,M,73.4,1.73,AB+,Eletronica,Luta,Fortnite,86.5,59.5,82.0
59,M,70.1,1.85,O-,Metal,Luta,Assassin's Creed,65.5,41.0,68.0
18,M,72.8,1.82,O+,Eletronica,Futebol,Assassin's Creed,87.0,79.0,74.5
41,F,63.8,1.73,A-,Pop,Atletismo,Dota,71.5,82.5,76.0
15,F,51.4,1.66,B+,Eletronica,Basquete,Dota,80.0,80.5,77.0
36,M,71.4,1.93,A+,Metal,Futebol,Fortnite,76.5,63.0,80.5
67,F,56.8,1.71,O-,Metal,Nada,Assassin's Creed,52.0,38.0,88.5
14,M,42.3,1.65,A+,Pagode,Volei,Minecraft,63.0,56.5,73.5
57,F,56.5,1.81,A+,Eletronica,Basquete,Minecraft,60.0,51.0,82.5
73,M,68.7,1.76,AB+,Metal,Nada,World of Warcraft,56.5,40.0,78.0
31,F,61.5,1.71,AB-,Eletronica,eSports,The Witcher,37.0,37.5,94.5
67,M,67.0,1.83,B-,Metal,Nada,The Witcher,66.5,40.0,68.5
28,M,84.0,1.9,O+,Pop,Basquete,Assassin's Creed,93.5,83.5,84.5
47,M,80.3,1.83,O+,Hip-Hop/Rap,Atletismo,Rocket League,81.0,84.0,78.0
18,M,69.5,1.73,A+,Metal,Nada,Dota,61.0,61.0,59.5
53,F,58.0,1.76,O-,Pagode,Volei,Rocket League,53.0,36.0,85.0
26,F,57.2,1.71,O+,Sertanejo,Atletismo,Fortnite,87.0,98.5,73.0
78,M,74.6,1.87,B-,Metal,Nada,Assassin's Creed,15.5,15.0,53.0
51,M,74.0,1.7,B+,Metal,Nada,Counter-Strike,28.5,22.0,55.5
30,F,60.2,1.79,O-,Metal,Futebol,Outro - pouco relevante,77.0,88.0,78.0
61,F,65.6,1.83,AB+,Hip-Hop/Rap,eSports,Assassin's Creed,23.0,18.5,85.0
33,F,58.2,1.71,A+,Sertanejo,Nada,Minecraft,43.5,46.0,62.0
80,M,76.8,1.73,AB-,Hip-Hop/Rap,Nada,Assassin's Creed,19.0,16.0,75.0
76,F,70.0,1.81,A+,Hip-Hop/Rap,Nada,The Witcher,40.0,30.0,80.5
57,M,67.3,1.82,A+,Demais generos estranhos,Basquete,Valorant,63.0,57.5,84.5
20,F,67.1,1.72,AB+,Sertanejo,Futebol,Counter-Strike,72.5,89.0,79.5
41,M,67.2,1.93,A-,Demais generos estranhos,Basquete,Outro - pouco relevante,82.5,76.5,92.5
32,M,81.7,1.7,AB-,Funk,Luta,Rocket League,85.5,57.0,79.0
64,M,65.9,1.86,AB-,Rock,Luta,World of Warcraft,63.5,37.0,67.0
50,M,68.0,1.72,B-,Demais generos estranhos,eSports,Rocket League,47.5,40.0,88.5
48,F,72.8,1.76,O+,Metal,Futebol,Valorant,66.5,75.5,87.0
76,F,72.8,1.71,AB+,Metal,Nada,The Witcher,17.5,13.5,53.5
17,M,71.9,1.63,B+,Funk,Luta,Valorant,85.5,71.5,70.0
53,F,70.1,1.81,A-,Pagode,Atletismo,The Witcher,56.0,63.0,63.5
80,M,69.8,1.81,A-,Demais generos estranhos,Nada,FIFA,50.5,53.0,61.5
42,M,68.9,1.94,AB+,Pagode,Volei,Minecraft,73.5,54.0,85.5
63,F,63.1,1.84,B+,Rock,Futebol,League of Legends,52.0,45.5,78.5
48,M,67.2,1.71,B+,Sertanejo,Volei,Fortnite,71.0,62.5,88.0
30,F,56.1,1.81,B+,Sertanejo,eSports,Rocket League,56.5,54.5,92.5
76,M,71.4,1.95,B-,Demais generos estranhos,Nada,The Witcher,18.0,16.5,79.0
67,M,81.1,1.86,O-,Rock,Nada,FIFA,24.0,19.0,88.5
55,M,69.0,1.85,B+,Eletronica,Nada,League of Legends,28.0,24.5,56.5
24,M,66.2,1.72,AB-,Funk,eSports,World of Warcraft,59.0,60.0,89.5
59,F,62.2,1.72,A+,Hip-Hop/Rap,Atletismo,Minecraft,52.0,60.5,68.0
23,F,57.7,1.81,A-,Sertanejo,Futebol,Minecraft,87.0,89.5,68.5
26,M,82.7,1.86,B+,Rock,Luta,Counter-Strike,99.0,76.0,71.0
62,F,63.3,1.81,B-,Sertanejo,Nada,Rocket League,23.5,22.5,56.5
27,F,58.9,1.75,A-,Eletronica,Atletismo,Rocket League,82.5,97.5,74.0
61,M,65.8,1.73,B+,Demais generos estranhos,eSports,Outro - pouco relevante,27.0,23.5,80.0
12,F,45.4,1.53,B-,Eletronica,Atletismo,The Witcher,73.0,78.5,59.0
44,F,65.5,1.84,B-,Rock,Nada,League of Legends,43.0,36.5,72.5
70,M,72.5,1.71,AB-,Pagode,Nada,Dota,65.0,51.0,79.0
19,M,74.5,1.73,O-,Pagode,Volei,Valorant,91.5,81.0,88.5
57,F,71.0,1.76,B-,Funk,Luta,World of Warcraft,59.0,30.0,72.0
42,M,78.0,1.95,O+,Sertanejo,Basquete,World of Warcraft,79.0,73.5,92.5
40,M,73.8,1.94,O+,Eletronica,Atletismo,Minecraft,66.5,84.5,75.5
46,M,69.1,1.76,AB-,Pop,Volei,The Witcher,66.5,58.0,95.0
22,M,67.6,1.79,AB+,Metal,Atletismo,Valorant,83.5,98.5,66.0
45,M,76.2,1.94,O+,Funk,Nada,Dota,36.5,46.0,65.5
20,M,68.0,1.78,B+,Eletronica,eSports,Outro - pouco relevante,59.0,63.0,92.0
53,F,68.3,1.82,A+,Pagode,Volei,Minecraft,48.5,38.5,81.0
23,M,73.4,1.79,AB+,Eletronica,eSports,FIFA,65.5,59.0,93.0
40,M,74.8,1.75,O+,Pop,Nada,Outro - pouco relevante,40.0,38.5,63.0
13,M,45.6,1.55,O-,Rock,Luta,Fortnite,78.5,50.0,57.0
50,M,66.3,1.86,A-,Metal,Volei,The Witcher,68.0,61.5,96.0
57,M,80.1,1.74,O+,Pop,Basquete,Minecraft,63.5,50.5,77.0
17,M,73.0,1.66,A+,Funk,Basquete,World of Warcraft,81.0,72.0,75.5
75,F,72.5,1.72,B+,Eletronica,Nada,Valorant,17.0,15.5,90.0
75,M,82.2,1.72,AB-,Eletronica,Nada,Rocket League,53.5,27.0,68.5
80,F,57.5,1.79,A-,Sertanejo,Nada,Valorant,15.0,19.5,81.5
22,M,84.1,1.93,AB+,Demais generos estranhos,Futebol,Outro - pouco relevante,83.5,85.5,70.0
43,F,69.7,1.7,A-,Rock,Atletismo,Counter-Strike,77.0,80.5,76.5
20,M,67.9,1.86,A+,Demais generos estranhos,eSports,The Witcher,55.0,55.0,85.5
50,F,66.5,1.83,B+,Metal,Basquete,FIFA,70.0,68.0,93.0
12,M,39.3,1.5,A-,Eletronica,Futebol,Outro - pouco relevante,63.5,63.0,60.0
79,F,59.3,1.75,O-,Pop,Nada,League of Legends,37.0,29.0,83.5
54,F,63.9,1.77,O-,Eletronica,Futebol,Valorant,47.5,49.0,72.0
26,M,82.4,1.78,AB+,Pop,Futebol,The Witcher,88.0,84.5,74.0
18,M,78.7,1.9,AB-,Rock,eSports,The Witcher,63.5,66.5,88.5
66,M,75.8,1.9,B+,Pop,Nada,Valorant,24.5,27.5,89.5
22,M,74.1,1.88,O-,Metal,eSports,Fortnite,61.5,60.5,86.0
46,M,84.0,1.92,AB-,Funk,Nada,Dota,43.0,40.5,66.0
66,M,82.8,1.94,AB-,Pop,Nada,Assassin's Creed,61.0,39.0,69.5
42,M,82.5,1.92,O-,Pagode,Basquete,World of Warcraft,87.0,69.0,93.5
24,F,57.2,1.75,AB-,Rock,Atletismo,Counter-Strike,90.0,98.5,74.5
23,M,78.8,1.82,A-,Pop,Atletismo,FIFA,85.5,100,73.0
47,F,66.7,1.76,AB+,Funk,Atletismo,Dota,72.0,87.0,71.5
13,F,47.1,1.59,O+,Eletronica,Nada,Minecraft,38.0,34.0,45.5
72,M,77.2,1.87,B-,Demais generos estranhos,Nada,Outro - pouco relevante,52.5,25.0,62.5
42,F,68.0,1.7,O-,Rock,eSports,The Witcher,40.0,40.0,98.0
36,F,69.6,1.79,B+,Hip-Hop/Rap,Volei,FIFA,64.0,50.0,92.0
48,F,62.1,1.71,O-,Hip-Hop/Rap,Nada,Counter-Strike,38.0,44.5,69.0
67,M,82.4,1.85,B-,Sertanejo,Nada,FIFA,55.0,49.0,68.0
73,M,77.2,1.91,AB+,Sertanejo,Nada,FIFA,55.5,47.5,77.0
62,M,72.1,1.78,AB+,Demais generos estranhos,Nada,Minecraft,29.5,19.0,58.5
37,F,59.0,1.73,B-,Sertanejo,Volei,Fortnite,70.0,59.5,91.0
37,M,66.3,1.88,O-,Pop,Futebol,Minecraft,65.0,72.5,83.5
63,F,62.6,1.82,A-,Metal,Luta,The Witcher,59.5,39.5,68.0
42,M,66.7,1.85,O+,Eletronica,Luta,Rocket League,82.0,63.0,77.5
16,M,57.1,1.61,AB-,Hip-Hop/Rap,Atletismo,Dota,78.5,85.5,63.5
54,F,54.4,1.76,B-,Rock,eSports,Minecraft,24.0,21.0,92.0
23,M,77.3,1.71,A-,Pagode,Futebol,Fortnite,84.0,90.5,67.0
52,M,83.2,1.7,B-,Funk,Volei,The Witcher,54.5,38.5,82.0
60,F,69.0,1.72,B-,Pagode,Futebol,Outro - pouco relevante,46.5,47.0,68.0
45,M,66.9,1.88,O+,Sertanejo,eSports,The Witcher,48.5,47.5,98.5
40,F,69.0,1.8,A-,Rock,eSports,Minecraft,35.5,34.0,92.5
26,M,75.5,1.77,AB-,Sertanejo,Luta,Fortnite,100,77.5,71.0
40,M,80.8,1.85,B+,Demais generos estranhos,Atletismo,FIFA,73.0,85.5,71.0
42,M,74.5,1.86,A-,Rock,Volei,Outro - pouco relevante,66.5,59.0,86.0
50,M,84.1,1.85,AB+,Pop,eSports,Dota,52.0,41.0,100
23,F,59.1,1.72,A-,Funk,Volei,League of Legends,84.0,74.0,89.0
78,F,59.7,1.78,B+,Funk,Nada,Assassin's Creed,17.5,9.0,88.0
71,F,61.0,1.74,A-,Sertanejo,Nada,World of Warcraft,41.0,53.5,62.0
58,M,70.8,1.76,O+,Pop,Volei,Minecraft,47.5,35.5,83.0
77,M,75.9,1.78,O+,Demais generos estranhos,Nada,Dota,41.0,38.5,67.0
33,M,68.6,1.7,O-,Rock,Basquete,Counter-Strike,81.0,75.5,94.0
77,M,81.7,1.77,O-,Funk,Nada,Minecraft,49.5,39.5,76.0
23,F,65.7,1.83,O+,Eletronica,Volei,Fortnite,88.5,73.5,86.5
78,M,66.2,1.75,O+,Demais generos estranhos,Nada,Valorant,42.5,43.5,69.5
21,F,57.3,1.74,A+,Metal,Volei,Rocket League,77.0,76.0,93.5
71,M,67.2,1.77,A+,Rock,Nada,Valorant,45.0,38.5,65.5
50,M,71.4,1.89,AB+,Demais generos estranhos,Basquete,Counter-Strike,79.5,82.0,89.0
36,M,77.4,1.92,B-,Rock,Atletismo,FIFA,67.0,78.5,68.5
73,F,63.4,1.81,A+,Demais generos estranhos,Nada,Minecraft,57.0,27.0,66.0
47,F,64.9,1.77,A+,Sertanejo,Nada,Assassin's Creed,39.0,43.0,66.0
